elevation;latitude;longitude;speedD;speedE;speedN;timestamp;run;tf_id;device;athlete;start_date;activity_id;activity_name;type;sport;discipline;discipline_from_name;sport_from_name;run_athlete;run_date_athlete;speed_kmh
637.928;-54.7163251;-67.9753678;4.757;2.149;-9.489;20240907T143522600000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;38.988
637.463;-54.7163332;-67.9753669;4.75;0.983;-9.141;20240907T143522700000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;37.25388
637.035;-54.716341;-67.9753685;4.707;-0.497;-8.887;20240907T143522800000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;36.24768
636.714;-54.7163486;-67.9753721;4.553;-1.753;-8.531;20240907T143522900000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;35.37936
636.478;-54.7163562;-67.9753796;4.33;-3.994;-8.54;20240907T143523000000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;37.34856
636.262;-54.7163629;-67.975388;4.105;-4.904;-7.752;20240907T143523100000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;36.17856
636.036;-54.7163695;-67.9753962;3.913;-5.043;-7.427;20240907T143523200000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;35.2548
635.72;-54.7163763;-67.9754043;3.834;-5.125;-7.516;20240907T143523300000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;35.5392
635.327;-54.7163831;-67.9754126;3.842;-5.312;-7.501;20240907T143523400000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;35.86356
634.826;-54.7163899;-67.9754212;3.961;-5.552;-7.582;20240907T143523500000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;36.71316
634.28;-54.716397;-67.9754289;4.115;-5.197;-7.936;20240907T143523600000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;37.22508
633.781;-54.7164047;-67.9754331;4.203;-3.279;-8.421;20240907T143523700000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;35.8794
633.447;-54.7164128;-67.975434;4.108;-1.12;-8.907;20240907T143523800000;2;96688;14043;AS2 Athlete2;07.09.2024;17029;2024_09_07_AS_SL_Ushuaia;training;alpine_ski;SL;SL;AS;2AS2 Athlete2;22024-09-07AS2 Athlete2;35.54064
